day;month;year;day;kw;desc;kanton
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Solothurn
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Solothurn
02;Juli;2018;Mo;KW 27;Mariä Heimsuchung;Kanton Solothurn
04;Juli;2018;Mi;KW 27;St. Ulrich;Kanton Solothurn
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Solothurn
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Solothurn
22;September;2018;Sa;KW 38;St. Mauritiustag;Kanton Solothurn
30;September;2018;So;KW 39;St. Urs und Viktor;Kanton Solothurn
16;Oktober;2018;Di;KW 42;Gallustag;Kanton Solothurn
20;Oktober;2018;Sa;KW 42;Wendelinstag;Kanton Solothurn
01;November;2018;Do;KW 44;Allerheiligen;Kanton Solothurn
11;November;2018;So;KW 45;St. Martin;Kanton Solothurn
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Solothurn
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Solothurn
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Solothurn
01;Januar;2017;So;KW 52;Neujahrstag;Kanton St. Gallen
17;Januar;2017;Di;KW 03;St. Antoniustag;Kanton St. Gallen
14;April;2017;Fr;KW 15;Karfreitag;Kanton St. Gallen
17;April;2017;Mo;KW 16;Ostermontag;Kanton St. Gallen
25;Mai;2017;Do;KW 21;Auffahrt;Kanton St. Gallen
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton St. Gallen
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton St. Gallen
14;September;2017;Do;KW 37;Heiligkreuztag;Kanton St. Gallen
01;November;2017;Mi;KW 44;Allerheiligen;Kanton St. Gallen
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton St. Gallen
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton St. Gallen
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton St. Gallen
17;Januar;2018;Mi;KW 03;St. Antoniustag;Kanton St. Gallen
30;März;2018;Fr;KW 13;Karfreitag;Kanton St. Gallen
02;April;2018;Mo;KW 14;Ostermontag;Kanton St. Gallen
10;Mai;2018;Do;KW 19;Auffahrt;Kanton St. Gallen
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton St. Gallen
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton St. Gallen
14;September;2018;Fr;KW 37;Heiligkreuztag;Kanton St. Gallen
01;November;2018;Do;KW 44;Allerheiligen;Kanton St. Gallen
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton St. Gallen
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton St. Gallen
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Tessin
06;Januar;2017;Fr;KW 01;Heilige drei Könige;Kanton Tessin
01;März;2017;Mi;KW 09;Aschermittwoch;Kanton Tessin
19;März;2017;So;KW 11;St. Josef;Kanton Tessin
17;April;2017;Mo;KW 16;Ostermontag;Kanton Tessin
